Date,Car_Count,Stock_Price
2024-01-01,202,142.91645650702037
2024-01-02,448,157.0608542148292
2024-01-03,370,152.490404957283
2024-01-04,206,142.1141151231223
2024-01-05,171,135.06008023464648
2024-01-06,288,152.39656359264524
2024-01-07,120,142.44933524285398
2024-01-08,202,140.0874629162433
2024-01-09,221,144.45449817110767
2024-01-10,314,148.79550676136975
2024-01-11,430,155.50360495851416
2024-01-12,187,137.38795621358946
2024-01-13,472,158.11157511722726
2024-01-14,199,146.2817977643742
2024-01-15,459,166.939827729477
